,Unnamed: 0,payment_date,volume,is_workday,lag_30,lag_61,lag_91,ewm_7,ewm_30,ewm_91
115,115,2025-05-27,373.0,1,499.0,1058.0,1826.0,538.0563357894721,570.2472784458441,832.5800122471603
116,116,2025-05-28,430.0,1,790.0,818.0,1940.0,511.04225184210406,561.1990669332091,823.8282728504829
117,117,2025-05-29,855.0,1,908.0,1752.0,1520.0,597.031688881578,580.153965840744,824.5059190928637
118,118,2025-05-30,371.0,1,714.0,490.0,2345.0,540.5237666611836,566.6601615929541,814.647094764758
119,119,2025-05-31,0.0,0,236.0,1158.0,1528.0,405.3928249958877,530.1014414901829,796.9373753133502
120,120,2025-06-01,899.0,0,293.0,0.0,1758.0,528.7946187469158,553.9013484908162,799.1561280239297
121,121,2025-06-02,687.0,1,318.0,1322.0,2016.0,568.3459640601868,562.4883582656023,796.7179513277573
122,122,2025-06-03,131.0,1,503.0,586.0,1985.0,459.0094730451401,534.6503996678216,782.2458219510669
123,123,2025-06-04,987.0,1,954.0,996.0,910.0,591.0071047838551,563.8342448505427,786.6969997347393
124,124,2025-06-05,858.0,1,682.0,629.0,2014.0,657.7553285878913,582.8126806666368,788.2470649578971
125,125,2025-06-06,833.0,1,0.0,915.0,787.0,701.5664964409185,598.9537980429828,789.2199548501168
126,126,2025-06-07,683.0,0,525.0,1428.0,472.0,696.9248723306889,604.3761336531129,786.9108253968534
127,127,2025-06-08,371.0,0,982.0,1238.0,1781.0,615.4436542480166,589.3196089012991,777.8692857143132
128,128,2025-06-09,978.0,1,181.0,1298.0,1077.0,706.0827406860125,614.3957631657315,782.2199534161759
129,129,2025-06-10,217.0,1,810.0,1053.0,1422.0,583.8120555145093,588.7573268324586,769.93256312452
130,130,2025-06-11,159.0,1,681.0,1430.0,1694.0,477.609041635882,561.0310476819774,756.6514204479
131,131,2025-06-12,0.0,1,766.0,329.0,2135.0,358.2067812269115,524.835496218624,740.2024765251196
132,132,2025-06-13,315.0,1,976.0,0.0,1421.0,347.40508592018364,511.2977222690354,730.9589444267474
133,133,2025-06-14,603.0,0,591.0,680.0,1992.0,411.3038144401377,517.2139982516783,728.1772282435572
